#ttH
169887   0.057971 1.0193 pythia8 #PowHelttH125inc AllHad 
169888   0.055519 1.0201 pythia8 #PowHelttH125inc ljets  
169889   0.013271 1.0182 pythia8 #PowHelttH125inc dil	 

#ttH(WW)
161303	0.0097039 1.4632 pythia8 # mH=115 
161304	0.014331  1.4355 pythia8 # mH=120
161305	0.019499  1.4257 pythia8 # mH=125
161306	0.024560  1.4175 pythia8 # mH=130
161307	0.028993  1.4128 pythia8 # mH=135

# ttH(->bb) dilepton:
161869	 0.0086632	1.4071   pythia8 # mH=115	 
161870	 0.0070759	1.4021   pythia8 # mH=120 
161871	 0.0055716	1.4053   pythia8 # mH=125
161872	 0.0042262	1.4094   pythia8 # mH=130
161873	 0.0030747	1.4135   pythia8 # mH=135
# ttH(->bb) semi-lepton:
161880	 0.036250	1.4028 	 pythia8 # mH=115
161881	 0.029431	1.4062 	 pythia8 # mH=120
161882	 0.023268	1.4036 	 pythia8 # mH=125
161883	 0.024846	1 	 pythia8 # mH=130
161884	 0.012902	1.4052 	 pythia8 # mH=135
# ttH(->bb) full-had:
161891	 0.037874	1.4009   pythia8 # mH=115
161892	 0.030805	1.4017   pythia8 # mH=120
161893	 0.024336	1.4003   pythia8 # mH=125
161894	 0.018454	1.4048   pythia8 # mH=130
161895	 0.013434	1.4080   pythia8 # mH=135

# ttH(gamgam)
160069   0.00025687     1.1477	 pythia8 # mH=125

# ttH(tautau)
161705	 0.0014351	 1.2852   pythia8 # mH=	  
161706	 0.0011883	 1.3059   pythia8 # mH=	  
161707	 0.00097615	 1.3048   pythia8 # mH=	  
161708	 0.00077024	 1.3156   pythia8 # mH= 125  tautaull
161709	 0.00058702	 1.3228   pythia8 # mH=	  
161710	 0.00043017	 1.3253   pythia8 # mH=	  
161711	 0.00030095	 1.3270   pythia8 # mH=	  
161716	 0.0052111	 1.3016   pythia8 # mH=	  
161717	 0.0043948	 1.2985   pythia8 # mH=	  
161718	 0.0036005	 1.3009   pythia8 # mH=	  
161719	 0.0028600	 1.3029   pythia8 # mH=	125  tautaulh
161720	 0.0021656	 1.3186   pythia8 # mH=	  
161721	 0.0015877	 1.3205   pythia8 # mH=	  
161722	 0.0011187	 1.3129   pythia8 # mH=	  
161727	 0.0048070	 1.2996   pythia8 # mH=	  
161728	 0.0039865	 1.3185   pythia8 # mH=	  
161729	 0.0033272	 1.2966   pythia8 # mH=	  
161730	 0.0026259	 1.3070   pythia8 # mH=	125  tautauhh
161731	 0.0019943	 1.3188   pythia8 # mH=	  
161732	 0.0014615	 1.3213   pythia8 # mH=	  
161733	 0.0010082	 1.3418   pythia8 # mH=	  

# ttH(ZZ) 
169072	 0.0023465   1.4547 pythia8

# ttH(cc)
169071	 0.0030317   1.2411 pythia8

# ttH(gg)
169070	 0.0056990   1.9444 pythia8

# tbH+
109745  0.080856   1 pythia #mH=250
109748  0.0097033  1 pythia #mH=400

# H+tb
146520	 2.2263	  1 pythia #	  
146521	 1.9767	  1 pythia #	  
146522	 1.7665	  1 pythia #	  
146523	 1.3579	  1 pythia #	  
146524	 1.0543	  1 pythia #	  
146525	 0.82642  1 pythia #	  
146526	 0.65171  1 pythia #	  
146527	 0.41153  1 pythia #	  
146528	 0.26689  1 pythia #	  
146529	 0.17634  1 pythia #	  
146530	 0.11864  1 pythia #	  
146531	 0.081053  1 pythia #	  
146532	 0.056191  1 pythia #	  

